Times,Fold,T,Name Method,Name Function,SP,SE,Gmean,F1 Score,Accuracy,AUC,Confusion Matrix
1,5,0.0,PSO-AFW-CIL,co_author_100_900,0.8667,0.9,0.8832,0.5806,0.87,0.8833,"[[156, 24], [2, 18]]"
2,1,0.0,W-SVM,co_author_100_900,0.9667,0.5,0.6952,0.5556,0.92,0.7333,"[[174, 6], [10, 10]]"
2,1,0.0,PSO-AFW-CIL,co_author_100_900,0.8444,0.9,0.8718,0.5455,0.85,0.8722,"[[152, 28], [2, 18]]"
2,2,0.0,W-SVM,co_author_100_900,0.9722,0.45,0.6614,0.5294,0.92,0.7111,"[[175, 5], [11, 9]]"
2,2,0.0,PSO-AFW-CIL,co_author_100_900,0.8778,0.75,0.8114,0.5263,0.865,0.8139,"[[158, 22], [5, 15]]"
2,3,0.0,W-SVM,co_author_100_900,0.95,0.25,0.4873,0.2941,0.88,0.6,"[[171, 9], [15, 5]]"
2,3,0.0,PSO-AFW-CIL,co_author_100_900,0.8389,0.65,0.7384,0.4194,0.82,0.7444,"[[151, 29], [7, 13]]"
2,4,0.0,W-SVM,co_author_100_900,0.9778,0.35,0.585,0.4516,0.915,0.6639,"[[176, 4], [13, 7]]"
2,4,0.0,PSO-AFW-CIL,co_author_100_900,0.8222,0.8,0.811,0.4706,0.82,0.8111,"[[148, 32], [4, 16]]"
2,5,0.0,W-SVM,co_author_100_900,0.9389,0.4,0.6128,0.4103,0.885,0.6694,"[[169, 11], [12, 8]]"
2,5,0.0,PSO-AFW-CIL,co_author_100_900,0.8556,0.95,0.9015,0.5846,0.865,0.9028,"[[154, 26], [1, 19]]"
3,1,0.0,W-SVM,co_author_100_900,0.9611,0.25,0.4902,0.3125,0.89,0.6056,"[[173, 7], [15, 5]]"
3,1,0.0,PSO-AFW-CIL,co_author_100_900,0.9333,0.55,0.7165,0.5116,0.895,0.7417,"[[168, 12], [9, 11]]"
3,2,0.0,W-SVM,co_author_100_900,0.9556,0.5,0.6912,0.5263,0.91,0.7278,"[[172, 8], [10, 10]]"
3,2,0.0,PSO-AFW-CIL,co_author_100_900,0.9167,0.95,0.9332,0.7037,0.92,0.9333,"[[165, 15], [1, 19]]"
3,3,0.0,W-SVM,co_author_100_900,0.9833,0.35,0.5867,0.4667,0.92,0.6667,"[[177, 3], [13, 7]]"
3,3,0.0,PSO-AFW-CIL,co_author_100_900,0.8667,0.85,0.8583,0.5574,0.865,0.8583,"[[156, 24], [3, 17]]"
3,4,0.0,W-SVM,co_author_100_900,0.9389,0.35,0.5732,0.3684,0.88,0.6444,"[[169, 11], [13, 7]]"
3,4,0.0,PSO-AFW-CIL,co_author_100_900,0.8667,0.7,0.7789,0.4828,0.85,0.7833,"[[156, 24], [6, 14]]"
3,5,0.0,W-SVM,co_author_100_900,0.9611,0.5,0.6932,0.5405,0.915,0.7306,"[[173, 7], [10, 10]]"
3,5,0.0,PSO-AFW-CIL,co_author_100_900,0.8,0.8,0.8,0.4444,0.8,0.8,"[[144, 36], [4, 16]]"
4,1,0.0,W-SVM,co_author_100_900,0.9444,0.5,0.6872,0.5,0.9,0.7222,"[[170, 10], [10, 10]]"
4,1,0.0,PSO-AFW-CIL,co_author_100_900,0.8611,0.85,0.8555,0.5484,0.86,0.8556,"[[155, 25], [3, 17]]"
4,2,0.0,W-SVM,co_author_100_900,0.9611,0.2,0.4384,0.2581,0.885,0.5806,"[[173, 7], [16, 4]]"
4,2,0.0,PSO-AFW-CIL,co_author_100_900,0.85,0.85,0.85,0.5312,0.85,0.85,"[[153, 27], [3, 17]]"
4,3,0.0,W-SVM,co_author_100_900,0.9667,0.5,0.6952,0.5556,0.92,0.7333,"[[174, 6], [10, 10]]"
4,3,0.0,PSO-AFW-CIL,co_author_100_900,0.8944,0.55,0.7014,0.44,0.86,0.7222,"[[161, 19], [9, 11]]"
4,4,0.0,W-SVM,co_author_100_900,0.9722,0.45,0.6614,0.5294,0.92,0.7111,"[[175, 5], [11, 9]]"
4,4,0.0,PSO-AFW-CIL,co_author_100_900,0.9222,0.75,0.8317,0.6122,0.905,0.8361,"[[166, 14], [5, 15]]"
4,5,0.0,W-SVM,co_author_100_900,0.95,0.4,0.6164,0.4324,0.895,0.675,"[[171, 9], [12, 8]]"
4,5,0.0,PSO-AFW-CIL,co_author_100_900,0.7667,0.8,0.7832,0.4103,0.77,0.7833,"[[138, 42], [4, 16]]"
5,1,0.0,W-SVM,co_author_100_900,0.9611,0.2,0.4384,0.2581,0.885,0.5806,"[[173, 7], [16, 4]]"
5,1,0.0,PSO-AFW-CIL,co_author_100_900,0.8556,0.85,0.8528,0.5397,0.855,0.8528,"[[154, 26], [3, 17]]"
5,2,0.0,W-SVM,co_author_100_900,0.9722,0.4,0.6236,0.4848,0.915,0.6861,"[[175, 5], [12, 8]]"
5,2,0.0,PSO-AFW-CIL,co_author_100_900,0.9167,0.75,0.8292,0.6,0.9,0.8333,"[[165, 15], [5, 15]]"
5,3,0.0,W-SVM,co_author_100_900,0.9444,0.35,0.5749,0.3784,0.885,0.6472,"[[170, 10], [13, 7]]"
