Times,Fold,T,Name Method,Name Function,SP,SE,Gmean,F1 Score,Accuracy,AUC,Confusion Matrix
4,4,2.1327,GridSearch-AFW-CIL,"K=3,s=0.1",0.6222,0.625,0.6236,0.4651,0.623,0.6236,"[[28, 17], [6, 10]]"
4,4,5.2711,PSO-AFW-CIL,"K=6,s1=0.172,s2=0.010,s3=0.010,s4=0.269",0.6222,0.625,0.6236,0.4651,0.623,0.6236,"[[28, 17], [6, 10]]"
4,5,0.0167,W-SVM,baseline,0.7778,0.3125,0.493,0.3226,0.6557,0.5451,"[[35, 10], [11, 5]]"
4,5,0.1107,AFW-CIL_fixed,fixed_sigma_1.2,0.7778,0.5,0.6236,0.4706,0.7049,0.6389,"[[35, 10], [8, 8]]"
4,5,2.2655,GridSearch-AFW-CIL,"K=3,s=0.2",0.7333,0.5625,0.6423,0.4865,0.6885,0.6479,"[[33, 12], [7, 9]]"
4,5,5.3635,PSO-AFW-CIL,"K=9,s1=0.145,s2=0.082,s3=0.056,s4=0.730",0.6889,0.6875,0.6882,0.5366,0.6885,0.6882,"[[31, 14], [5, 11]]"
5,1,0.0166,W-SVM,baseline,1.0,0.0,0.0,0.0,0.7258,0.5,"[[45, 0], [17, 0]]"
5,1,0.1027,AFW-CIL_fixed,fixed_sigma_1.2,0.9333,0.5294,0.7029,0.6207,0.8226,0.7314,"[[42, 3], [8, 9]]"
5,1,3.0439,GridSearch-AFW-CIL,"K=3,s=0.1",0.8444,0.5882,0.7048,0.5882,0.7742,0.7163,"[[38, 7], [7, 10]]"
5,1,5.4834,PSO-AFW-CIL,"K=4,s1=0.317,s2=0.154,s3=0.133,s4=0.565",0.8444,0.5882,0.7048,0.5882,0.7742,0.7163,"[[38, 7], [7, 10]]"
5,2,0.0316,W-SVM,baseline,0.8889,0.125,0.3333,0.1739,0.6885,0.5069,"[[40, 5], [14, 2]]"
5,2,0.0905,AFW-CIL_fixed,fixed_sigma_1.2,0.8667,0.125,0.3291,0.1667,0.6721,0.4958,"[[39, 6], [14, 2]]"
5,2,2.0794,GridSearch-AFW-CIL,"K=9,s=0.1",0.7111,0.375,0.5164,0.3429,0.623,0.5431,"[[32, 13], [10, 6]]"
5,2,4.9756,PSO-AFW-CIL,"K=9,s1=0.164,s2=0.010,s3=0.453,s4=0.990",0.7556,0.375,0.5323,0.3636,0.6557,0.5653,"[[34, 11], [10, 6]]"
5,3,0.0215,W-SVM,baseline,0.9556,0.25,0.4888,0.3636,0.7705,0.6028,"[[43, 2], [12, 4]]"
5,3,0.0914,AFW-CIL_fixed,fixed_sigma_1.2,0.8889,0.25,0.4714,0.32,0.7213,0.5694,"[[40, 5], [12, 4]]"
5,3,1.9445,GridSearch-AFW-CIL,"K=3,s=0.1",0.8,0.5625,0.6708,0.5294,0.7377,0.6813,"[[36, 9], [7, 9]]"
5,3,4.8939,PSO-AFW-CIL,"K=5,s1=0.122,s2=0.033,s3=0.302,s4=0.441",0.6889,0.5625,0.6225,0.4615,0.6557,0.6257,"[[31, 14], [7, 9]]"
5,4,0.0176,W-SVM,baseline,0.8444,0.375,0.5627,0.4138,0.7213,0.6097,"[[38, 7], [10, 6]]"
5,4,0.094,AFW-CIL_fixed,fixed_sigma_1.2,0.8444,0.4375,0.6078,0.4667,0.7377,0.641,"[[38, 7], [9, 7]]"
5,4,2.0952,GridSearch-AFW-CIL,"K=3,s=0.1",0.7556,0.5625,0.6519,0.5,0.7049,0.659,"[[34, 11], [7, 9]]"
5,4,5.1723,PSO-AFW-CIL,"K=9,s1=0.415,s2=0.429,s3=0.403,s4=0.280",0.7778,0.5625,0.6614,0.5143,0.7213,0.6701,"[[35, 10], [7, 9]]"
5,5,0.0117,W-SVM,baseline,1.0,0.0,0.0,0.0,0.7377,0.5,"[[45, 0], [16, 0]]"
5,5,0.096,AFW-CIL_fixed,fixed_sigma_1.2,0.8222,0.5625,0.6801,0.5455,0.7541,0.6924,"[[37, 8], [7, 9]]"
5,5,1.8799,GridSearch-AFW-CIL,"K=9,s=0.2",0.7778,0.5625,0.6614,0.5143,0.7213,0.6701,"[[35, 10], [7, 9]]"
5,5,4.8676,PSO-AFW-CIL,"K=7,s1=0.017,s2=0.020,s3=0.500,s4=0.515",1.0,0.0,0.0,0.0,0.7377,0.5,"[[45, 0], [16, 0]]"
6,1,0.0139,W-SVM,baseline,1.0,0.0,0.0,0.0,0.7258,0.5,"[[45, 0], [17, 0]]"
6,1,0.104,AFW-CIL_fixed,fixed_sigma_1.2,0.9111,0.5294,0.6945,0.6,0.8065,0.7203,"[[41, 4], [8, 9]]"
6,1,2.0323,GridSearch-AFW-CIL,"K=3,s=0.1",0.9111,0.5882,0.7321,0.6452,0.8226,0.7497,"[[41, 4], [7, 10]]"
6,1,5.138,PSO-AFW-CIL,"K=7,s1=0.490,s2=0.928,s3=0.240,s4=0.881",0.9111,0.5294,0.6945,0.6,0.8065,0.7203,"[[41, 4], [8, 9]]"
6,2,0.0194,W-SVM,baseline,0.8444,0.25,0.4595,0.2963,0.6885,0.5472,"[[38, 7], [12, 4]]"
6,2,0.1014,AFW-CIL_fixed,fixed_sigma_1.2,0.8444,0.375,0.5627,0.4138,0.7213,0.6097,"[[38, 7], [10, 6]]"
6,2,2.2102,GridSearch-AFW-CIL,"K=7,s=0.5",1.0,0.0,0.0,0.0,0.7377,0.5,"[[45, 0], [16, 0]]"
6,2,5.4642,PSO-AFW-CIL,"K=10,s1=0.427,s2=0.639,s3=0.225,s4=0.109",0.8444,0.4375,0.6078,0.4667,0.7377,0.641,"[[38, 7], [9, 7]]"
6,3,0.0106,W-SVM,baseline,1.0,0.0,0.0,0.0,0.7377,0.5,"[[45, 0], [16, 0]]"
